pickup_date,total_trips,total_revenue,average_trip_distance,average_trip_duration,average_total_amount
2024-01-01,75443,2335768.45,4.6551815277759365,15.10149030835642,30.96070477048898
2024-01-02,72944,2251733.64,4.207062266944505,16.016368264239233,30.86934689624918
2024-01-03,79907,2337062.79,3.9503535359855837,15.819430087476691,29.24728484363072
2024-01-04,100089,2778329.17,3.3585686738802467,15.352731735422141,27.75858655796341
2024-01-05,100079,2699790.82,3.826514053897421,14.703313548962987,26.97659668861599
2024-01-06,93693,2401069.15,3.193487987362983,13.574193554125353,25.626985473834758
2024-01-07,65175,1871041.01,3.9608116609129267,13.057310829817158,28.707955657844266
2024-01-08,77683,2198595.96,3.5686816935494257,14.936042205716394,28.30215053486606
2024-01-09,90312,2322537.7,3.951601116130747,14.720222118876782,25.716822792098505
2024-01-10,92487,2527055.64,3.4052458183312244,14.770921859288332,27.32336047228259
2024-01-11,102035,2876948.33,3.6525580438084972,15.891204161970565,28.195700788944972
2024-01-12,100460,2826742.19,4.322729245470835,15.812133685048774,28.137987159068285
2024-01-13,101530,2620421.42,3.84892376637447,14.135173511934076,25.809331429134247
2024-01-14,91012,2416028.92,3.387545049004527,13.480996278878976,26.546267744912758
2024-01-15,74756,2141436.52,3.7994710792444755,14.331422895821072,28.64568088180213
2024-01-16,90178,2599791.28,3.7914741954800504,16.00379046626302,28.829551331810418
2024-01-17,106419,2927200.99,3.934605756490852,15.752298931581766,27.506375647205857
2024-01-18,106952,2906987.44,3.0744116987059615,15.638298800708105,27.180299947640062
2024-01-19,93013,2453199.99,3.067879006160429,14.430732800791287,26.374807715050586
2024-01-20,104552,2546947.08,3.6385895057005126,13.39121601372204,24.360577320376464
2024-01-21,81211,2224455.02,4.961136422405832,13.358438922477662,27.39105564517122
2024-01-22,83039,2339305.39,3.457329808884982,15.242079825945238,28.171165235612182
2024-01-23,96953,2611096.86,3.0250391426773797,15.608568069064392,26.9315736490877
2024-01-24,102381,2764731.69,3.572952989324191,15.851538534168125,27.004343481700705
2024-01-25,106954,2970010.42,4.064341399106158,16.230426164519326,27.76904482300802
2024-01-26,102604,2787368.27,3.4419092822891892,15.630258242043844,27.166272952321545
2024-01-27,107148,2686551.26,2.87411309590473,14.45620543547243,25.07327490947101
2024-01-28,89090,2385714.37,3.421341227971714,13.702814943689903,26.778699854080145
2024-01-29,82084,2316196.48,3.4557246235563572,15.157954656205838,28.217392914575314
2024-01-30,98492,2618951.09,6.155472931811721,15.13530303645643,26.590495573244525
2024-01-31,99360,2664748.07,3.2081036634460545,15.384043042136339,26.819123087761675
