pickup_hour,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration
0,75166,2147600.73,28.57143828326637,3.853073730143948,13.724993791519214
1,50437,1306245.28,25.898552253306104,3.2667793484941607,12.690923660540212
2,34937,859245.77,24.594148610355784,3.03954460886739,12.011931476657983
3,22923,612113.3,26.703018802076517,3.5152466954587096,12.154494030740596
4,15263,495412.98,32.458427569940376,4.869355958854746,13.994601323461968
5,17487,656879.43,37.56387201921428,9.17998398810545,16.532858695030594
6,39393,1187456.41,30.14384306856548,13.476371690401846,15.73676203047919
7,80824,2143610.38,26.521953627635355,6.178154879738692,14.99656310831766
8,113451,2897223.32,25.53722153176261,5.5940903121171255,15.179175738130706
9,125541,3250967.79,25.895665878079672,3.049711409021754,15.121359157566054
10,135336,3522190.79,26.025527501921143,3.319585254477744,15.230317998660125
11,146659,3735057.34,25.46763130800019,3.479513974594126,15.10024171718067
12,159825,4110762.81,25.72039924917879,3.3492683872986073,15.105238542155483
13,165211,4377672.91,26.497466330934383,3.16219670603047,15.485880278351118
14,177879,4919405.37,27.65590862327762,3.6549957555416883,16.446593283449236
15,183855,5037889.75,27.401429115335453,3.9610066628593184,16.750087931612775
16,184829,5498748.64,29.7504646998036,3.3995430911815787,16.898076961227222
17,200166,5634956.6,28.15141732362139,3.0626358122758113,15.892954680948145
18,206157,5534282.33,26.84498867368074,2.862123527214696,14.353037652533423
19,178688,4942607.11,27.660543013520776,3.157302392997851,13.78839410965855
20,155461,4241760.58,27.285046281704094,3.361024951595577,13.478556572602345
21,155827,4279742.51,27.464704512055032,3.4586267463276585,13.4918687604416
22,138162,3921788.42,28.385434634704186,3.6624775987608746,13.837045642072349
23,104558,3094196.86,29.593114443658063,4.020904091509019,14.157718682453758
