pickup_datetime,dropoff_datetime,pickup_date,pickup_year,pickup_month,pickup_day,pickup_hour,pickup_day_name,pickup_day_of_week,is_weekend,vendor_name,rate_code_label,payment_type_label,passenger_count_clean,passenger_count_group,trip_distance,trip_duration_minutes,fare_amount,tip_amount,tolls_amount,total_amount,congestion_surcharge,airport_fee,revenue_per_mile,fare_per_minute,tip_percentage,distance_bucket,duration_bucket,pickup_location_id,pickup_borough,pickup_zone,pickup_service_zone,dropoff_location_id,dropoff_borough,dropoff_zone,dropoff_service_zone,is_high_value_trip,is_long_distance_trip,is_long_duration_trip
2024-01-28 09:25:16,2024-01-28 09:27:46,2024-01-28,2024,1,28,9,Sunday,6,True,Creative Mobile Technologies,Standard rate,Cash,1,Solo,0.3,2.5,4.4,0.0,0.0,8.4,2.5,0.0,28.000000000000004,1.7600000000000002,0.0,0-1 miles,0-5 min,263,Manhattan,Yorkville West,Yellow Zone,262,Manhattan,Yorkville East,Yellow Zone,False,False,False
2024-01-20 12:10:35,2024-01-20 12:31:56,2024-01-20,2024,1,20,12,Saturday,5,True,VeriFone Inc.,Standard rate,Credit card,1,Solo,1.74,21.35,18.4,1.0,0.0,23.4,2.5,0.0,13.448275862068964,0.8618266978922715,5.434782608695652,1-3 miles,20-30 min,113,Manhattan,Greenwich Village North,Yellow Zone,232,Manhattan,Two Bridges/Seward Park,Yellow Zone,False,False,False
2024-01-05 14:55:18,2024-01-05 15:14:08,2024-01-05,2024,1,5,14,Friday,4,False,VeriFone Inc.,Standard rate,Credit card,3,Small group,2.12,18.833333333333332,17.0,4.2,0.0,25.2,2.5,0.0,11.886792452830187,0.9026548672566372,24.705882352941178,1-3 miles,10-20 min,161,Manhattan,Midtown Center,Yellow Zone,246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,False,False,False
2024-01-23 06:52:20,2024-01-23 07:02:30,2024-01-23,2024,1,23,6,Tuesday,1,False,Creative Mobile Technologies,Standard rate,Credit card,1,Solo,1.7,10.166666666666666,12.1,4.0,0.0,20.1,2.5,0.0,11.823529411764707,1.1901639344262296,33.057851239669425,1-3 miles,10-20 min,170,Manhattan,Murray Hill,Yellow Zone,43,Manhattan,Central Park,Yellow Zone,False,False,False
2024-01-20 19:51:56,2024-01-20 20:04:43,2024-01-20,2024,1,20,19,Saturday,5,True,VeriFone Inc.,Unknown,Unknown,0,Unknown,1.84,12.783333333333333,12.95,0.0,0.0,16.95,,,9.211956521739129,1.013037809647979,0.0,1-3 miles,10-20 min,229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,236,Manhattan,Upper East Side North,Yellow Zone,False,False,False
2024-01-26 18:13:10,2024-01-26 18:25:32,2024-01-26,2024,1,26,18,Friday,4,False,Creative Mobile Technologies,Standard rate,Credit card,1,Solo,1.4,12.366666666666667,12.1,3.7,0.0,22.3,2.5,0.0,15.92857142857143,0.9784366576819407,30.57851239669422,1-3 miles,10-20 min,142,Manhattan,Lincoln Square East,Yellow Zone,161,Manhattan,Midtown Center,Yellow Zone,False,False,False
2024-01-29 14:05:05,2024-01-29 14:13:44,2024-01-29,2024,1,29,14,Monday,0,False,VeriFone Inc.,Standard rate,Credit card,1,Solo,1.16,8.65,10.0,2.8,0.0,16.8,2.5,0.0,14.482758620689657,1.1560693641618496,27.999999999999996,1-3 miles,5-10 min,237,Manhattan,Upper East Side South,Yellow Zone,143,Manhattan,Lincoln Square West,Yellow Zone,False,False,False
2024-01-27 20:02:55,2024-01-27 20:21:28,2024-01-27,2024,1,27,20,Saturday,5,True,VeriFone Inc.,Standard rate,Cash,3,Small group,1.73,18.55,17.0,0.0,0.0,22.0,2.5,0.0,12.716763005780347,0.9164420485175202,0.0,1-3 miles,10-20 min,249,Manhattan,West Village,Yellow Zone,186,Manhattan,Penn Station/Madison Sq West,Yellow Zone,False,False,False
2024-01-16 20:12:57,2024-01-16 20:18:17,2024-01-16,2024,1,16,20,Tuesday,1,False,VeriFone Inc.,Unknown,Unknown,0,Unknown,0.98,5.333333333333333,7.83,0.0,0.0,11.83,,,12.071428571428571,1.4681250000000001,0.0,0-1 miles,5-10 min,161,Manhattan,Midtown Center,Yellow Zone,170,Manhattan,Murray Hill,Yellow Zone,False,False,False
2024-01-05 14:51:13,2024-01-05 15:10:57,2024-01-05,2024,1,5,14,Friday,4,False,VeriFone Inc.,Standard rate,Cash,1,Solo,2.5,19.733333333333334,19.1,0.0,0.0,23.1,2.5,0.0,9.24,0.9679054054054055,0.0,1-3 miles,10-20 min,79,Manhattan,East Village,Yellow Zone,161,Manhattan,Midtown Center,Yellow Zone,False,False,False
