term,coefficient,p_value,confidence_interval_lower,confidence_interval_upper,result
C(rate_code_label)[T.Negotiated fare],24.070505083808374,0.0,23.687753387769373,24.453256779847376,Statistically significant
C(payment_type_label)[T.Unknown],16.064831367985292,0.0,15.81300017048643,16.316662565484155,Statistically significant
C(rate_code_label)[T.Newark],15.572804974948626,0.0,14.86066134751407,16.28494860238318,Statistically significant
C(pickup_borough)[T.Staten Island],13.110090837574093,0.003477520896426609,4.316492409600203,21.903689265547982,Statistically significant
Intercept,12.251977352105822,0.0,11.771275355154017,12.732679349057626,Statistically significant
C(pickup_borough)[T.EWR],6.316072073535597,0.047132240230184794,0.08000803276916013,12.552136114302034,Statistically significant
C(pickup_borough)[T.Queens],5.589837410719102,1.4690099655254826e-129,5.137654707293329,6.042020114144874,Statistically significant
C(payment_type_label)[T.Credit card],4.341368071000929,0.0,4.295772733268336,4.386963408733521,Statistically significant
trip_distance,3.129003092708909,0.0,3.1181567162622263,3.1398494691555916,Statistically significant
C(payment_type_label)[T.Dispute],0.6666883421393471,1.6501513006304658e-12,0.48164524000558573,0.8517314442731085,Statistically significant
trip_duration_minutes,0.5239038383617507,0.0,0.520995184030946,0.5268124926925554,Statistically significant
C(payment_type_label)[T.No charge],0.0880573102862231,0.5173420677244503,-0.17851183646535163,0.3546264570377978,Not statistically significant
pickup_hour,0.05024128607060076,2.7621684518476893e-264,0.047408807336839345,0.05307376480436217,Statistically significant
passenger_count_clean,0.0372514790206295,0.0001649658167772036,0.017871748098319755,0.05663120994293925,Statistically significant
C(pickup_borough)[T.Unknown],-0.2910480693098988,0.27763531761840066,-0.8164906323508342,0.2343944937310366,Not statistically significant
C(pickup_borough)[T.Manhattan],-0.3112548354224675,0.17443787824796267,-0.760454208593582,0.137944537748647,Not statistically significant
C(rate_code_label)[T.Nassau or Westchester],-0.3731958728055833,0.18781611484194025,-0.9285599257935344,0.1821681801823678,Not statistically significant
is_weekend[T.True],-0.800990458441181,0.0,-0.8380050332509126,-0.7639758836314494,Statistically significant
C(pickup_borough)[T.Brooklyn],-1.484742258962805,4.959940972637273e-10,-1.9525533933592643,-1.0169311245663457,Statistically significant
C(rate_code_label)[T.Standard rate],-7.487032607112551,0.0,-7.634174478028294,-7.339890736196807,Statistically significant
C(rate_code_label)[T.Unknown],-21.502014631510924,0.0,-21.780027965729964,-21.224001297291885,Statistically significant
