,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percentage
VendorID,2964624.0,1.7542042431013174,0.4325902017035976,1.0,2.0,2.0,2.0,6.0,0,0.0
passenger_count,2824462.0,1.3392808966805005,0.8502816924800881,0.0,1.0,1.0,1.0,9.0,140162,4.73
trip_distance,2964624.0,3.652169178958276,225.4625723822,0.0,1.0,1.68,3.11,312722.3,0,0.0
RatecodeID,2824462.0,2.069359403666964,9.823218952795497,1.0,1.0,1.0,1.0,99.0,140162,4.73
PULocationID,2964624.0,166.01788354948215,63.62391448741329,1.0,132.0,162.0,234.0,265.0,0,0.0
DOLocationID,2964624.0,165.11671227110082,69.31534978524881,1.0,114.0,162.0,234.0,265.0,0,0.0
payment_type,2964624.0,1.1612707041432573,0.5808685566109418,0.0,1.0,1.0,1.0,4.0,0,0.0
fare_amount,2964624.0,18.17506191678945,18.94954770590529,-899.0,8.6,12.8,20.5,5000.0,0,0.0
extra,2964624.0,1.451598432043996,1.8041024767539,-7.5,0.0,1.0,2.5,14.25,0,0.0
mta_tax,2964624.0,0.4833823108765226,0.11776003015379831,-0.5,0.5,0.5,0.5,4.0,0,0.0
tip_amount,2964624.0,3.33587001589409,3.8965505998067695,-80.0,1.0,2.7,4.12,428.0,0,0.0
tolls_amount,2964624.0,0.5270212040380163,2.128309676398901,-80.0,0.0,0.0,0.0,115.92,0,0.0
improvement_surcharge,2964624.0,0.9756318507844505,0.21836445772743,-1.0,1.0,1.0,1.0,1.0,0,0.0
total_amount,2964624.0,26.80150477092542,23.385577429672523,-900.0,15.38,20.1,28.56,5000.0,0,0.0
congestion_surcharge,2824462.0,2.2561220508542865,0.8232746699398354,-2.5,2.5,2.5,2.5,2.5,140162,4.73
Airport_fee,2824462.0,0.141161130863152,0.48762388723927697,-1.75,0.0,0.0,0.0,1.75,140162,4.73
