column_name,data_type,non_null_count,missing_count,missing_percentage
VendorID,int32,2964624,0,0.0
tpep_pickup_datetime,datetime64[us],2964624,0,0.0
tpep_dropoff_datetime,datetime64[us],2964624,0,0.0
passenger_count,float64,2824462,140162,4.73
trip_distance,float64,2964624,0,0.0
RatecodeID,float64,2824462,140162,4.73
store_and_fwd_flag,str,2824462,140162,4.73
PULocationID,int32,2964624,0,0.0
DOLocationID,int32,2964624,0,0.0
payment_type,int64,2964624,0,0.0
fare_amount,float64,2964624,0,0.0
extra,float64,2964624,0,0.0
mta_tax,float64,2964624,0,0.0
tip_amount,float64,2964624,0,0.0
tolls_amount,float64,2964624,0,0.0
improvement_surcharge,float64,2964624,0,0.0
total_amount,float64,2964624,0,0.0
congestion_surcharge,float64,2824462,140162,4.73
Airport_fee,float64,2824462,140162,4.73
