pickup_borough,dropoff_borough,total_trips,total_revenue,average_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,trip_share_percentage
Manhattan,Manhattan,2422225,49741151.47,20.535314213171773,2.2460228385059193,11.895707865013916,17.41956283420544,84.45590796486096
Queens,Manhattan,148155,11985554.42,80.89875076777699,14.133280280787012,36.41779015220546,6.909425031182148,5.165731938417767
Manhattan,Queens,74782,4923979.01,65.84444130940601,12.22021582733813,34.064523325577454,6.814140802728368,2.6074298256471766
Queens,Queens,54805,2264481.06,41.31887710975276,6.920896633518839,18.289047532159476,65.08212824837013,1.9108902088014963
Manhattan,Brooklyn,51029,2236178.33,43.82171569107762,6.527861608105195,28.362193393299236,7.408254689065978,1.7792321223416032
Queens,Brooklyn,40000,2768876.55,69.22191375,13.6779315,35.10378333333333,5.530349932276277,1.3946831192785305
Brooklyn,Brooklyn,11209,258328.72,23.04654474083326,3.369651173164421,22.46634400927826,34.96056666268504,0.3908250770998262
Manhattan,Unknown,9683,468585.72,48.39261799029226,5.979594134049365,19.10944955075906,62.00237529291213,0.3376179160993502
Queens,Unknown,8085,1007344.12,124.59420160791589,20.483678416821274,37.77374561945991,14.681203168772717,0.281900325484173
Manhattan,Bronx,7754,351495.46,45.33085633221563,16.318451122001544,30.276960278565898,7.2368375550405535,0.27035932267214313
Brooklyn,Manhattan,7501,305701.23,40.754730035995195,33.326837754966,39.29132337910501,7.8869000541607095,0.2615379519427064
Unknown,Unknown,7019,206974.53,29.487751816498076,3.1724861091323553,13.893446359880326,90.34629863926044,0.24473202035540012
Manhattan,EWR,6324,787991.21,124.60329063883617,17.76934376976597,36.19861638203668,7.174402758139618,0.22049940115793565
Queens,Bronx,5892,469015.38,79.60206720977597,16.11803292600136,34.59269631138267,5.63981092626059,0.20543682346972755
Brooklyn,Queens,2858,128016.16,44.79221833449965,10.3494366689993,39.21750058315838,7.115417552579218,0.099650108872451
Bronx,Manhattan,2686,97415.46,36.26785554728221,8.126582278481013,42.30145817820799,7.28505585804074,0.09365297145955333
Unknown,Manhattan,2659,72312.74,27.195464460323432,3.445110943963896,15.139557477748529,13.938242524255903,0.09271156035404031
Bronx,Bronx,1962,45251.67,23.064051987767584,3.2783129459734965,20.50663438668026,30.205231756317655,0.06840920700061191
Bronx,Brooklyn,562,32805.68,58.37309608540925,16.40355871886121,71.50871886120997,7.672389501343704,0.01959529782586335
Brooklyn,Bronx,548,32976.73,60.17651459854015,16.987536496350366,73.83354622871046,8.582876936155849,0.019107158734115864
Bronx,Queens,498,25135.6,50.47309236947791,12.880923694779115,48.55696117804551,6.030589665879215,0.017363804835017704
Queens,EWR,339,66837.91,197.16197640117994,33.88637168141593,56.67389380530974,5.883116795110318,0.011819939435885544
Unknown,Queens,337,19288.87,57.23700296735905,10.83112759643917,32.683135509396635,11.765371035354477,0.011750205279921619
Queens,Staten Island,327,41461.76,126.79437308868502,26.69418960244648,47.51478083588176,4.8885363452273545,0.011401534500101985
Manhattan,Staten Island,227,25484.94,112.26845814977973,19.155242290748898,41.237958883994125,6.03410588618323,0.00791482670190566
Unknown,Brooklyn,187,9993.27,53.439946524064176,10.575454545454544,36.49964349376114,5.938761368184468,0.00652014358262713
Brooklyn,Unknown,82,8814.84,107.4980487804878,28.916219512195124,41.136178861788615,314.74523645763946,0.0028591003945209873
Unknown,EWR,69,8201.33,118.85985507246377,11.031159420289855,18.37415458937198,96.3273991232333,0.002405828380755465
Unknown,Bronx,40,2287.6,57.19,12.446250000000001,32.01833333333333,4.752789213029437,0.0013946831192785303
EWR,EWR,37,3454.4700000000003,93.36405405405407,4.257027027027027,2.5243243243243243,3265.0126274973363,0.0012900818853326407
Bronx,Unknown,31,2535.5,81.79032258064517,14.009677419354839,26.35,140.1256568874916,0.001080879417440861
Brooklyn,EWR,30,3829.38,127.646,19.174666666666667,40.723333333333336,6.782633939953814,0.0010460123394588979
Brooklyn,Staten Island,26,985.05,37.88653846153846,4.25076923076923,19.10128205128205,49.10490060524657,0.0009065440275310447
Staten Island,Staten Island,20,597.8,29.889999999999997,1.2935,3.0183333333333335,88.95693080603829,0.0006973415596392651
Staten Island,Brooklyn,14,707.14,50.51,11.141428571428571,28.620238095238097,4.494561625668349,0.00048813909174748565
EWR,Unknown,8,667.93,83.49125,5.1475,10.33125,527.1188611552702,0.0002789366238557061
Staten Island,Manhattan,5,410.94,82.188,18.998,37.09666666666667,4.3754240302433605,0.00017433538990981628
Unknown,Staten Island,5,525.99,105.19800000000001,22.962,42.49333333333333,4.668847832406849,0.00017433538990981628
Staten Island,Unknown,3,630.89,210.29666666666665,28.5,43.67777777777778,8.779162975500556,0.00010460123394588978
EWR,Manhattan,3,489.2,163.06666666666666,17.683333333333334,39.388888888888886,9.05972330515825,0.00010460123394588978
Bronx,EWR,3,332.22,110.74000000000001,25.276666666666667,36.577777777777776,4.382147446595461,0.00010460123394588978
Staten Island,EWR,2,227.46,113.73,15.739999999999998,25.066666666666666,7.231435133812406,6.973415596392653e-05
Staten Island,Queens,1,77.71,77.71,29.58,39.8,2.6271129141311698,3.4867077981963264e-05
EWR,Staten Island,1,113.26,113.26,22.33,43.8,5.072100313479624,3.4867077981963264e-05
EWR,Queens,1,135.18,135.18,25.87,41.45,5.225357557015848,3.4867077981963264e-05
Staten Island,Bronx,1,155.52,155.52,35.99,60.75,4.321200333425952,3.4867077981963264e-05
