pickup_date,total_trips,total_revenue,average_total_amount,average_fare_amount,average_tip_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,daily_revenue_growth_percentage
2024-01-01,75443,2335768.45,30.96070477048898,22.18918229656827,3.4299860822077597,4.6551815277759365,15.10149030835642,18.402040873109588,
2024-01-02,72944,2251733.64,30.86934689624918,21.351276458653214,3.587856711998245,4.207062266944505,16.016368264239233,17.253619154868666,-3.5977371815258508
2024-01-03,79907,2337062.79,29.24728484363072,20.068599997497092,3.4277834232295046,3.9503535359855837,15.819430087476691,17.26765256255615,3.7894868417918115
2024-01-04,100089,2778329.17,27.75858655796341,18.755029423812804,3.3518879197514213,3.3585686738802467,15.352731735422141,17.49982003285339,18.8812376752616
2024-01-05,100079,2699790.82,26.97659668861599,18.145774737957012,3.2875150631001504,3.826514053897421,14.703313548962987,16.591031280658363,-2.8268194729424434
2024-01-06,93693,2401069.15,25.626985473834758,17.651388897783185,3.099952611187602,3.193487987362983,13.574193554125353,17.852331726475274,-11.064622776960176
2024-01-07,65175,1871041.01,28.707955657844266,19.836428691983123,3.551051476793249,3.9608116609129267,13.057310829817158,19.231053418448276,-22.074672026834374
2024-01-08,77683,2198595.96,28.30215053486606,19.082733674034216,3.4687232727881265,3.5686816935494257,14.936042205716394,16.658238860116953,17.506561761572502
2024-01-09,90312,2322537.7,25.716822792098505,17.2217199264771,3.136590597041368,3.951601116130747,14.720222118876782,17.052040306073824,5.637313187821924
2024-01-10,92487,2527055.64,27.32336047228259,18.20496599522095,3.4591415009677036,3.4052458183312244,14.770921859288332,18.274111969582364,8.805796349398332
2024-01-11,102035,2876948.33,28.195700788944972,18.87936727593473,3.5884613122948013,3.6525580438084972,15.891204161970565,17.688822251486613,13.845864114016893
2024-01-12,100460,2826742.19,28.137987159068285,18.849034939279317,3.5430279713318735,4.322729245470835,15.812133685048774,16.8257735164652,-1.745117890247272
2024-01-13,101530,2620421.42,25.809331429134247,17.59957913917069,3.275329853245346,3.84892376637447,14.135173511934076,17.506053518338657,-7.298888831457251
2024-01-14,91012,2416028.92,26.546267744912758,18.143015866039644,3.3310172284973407,3.387545049004527,13.480996278878976,16.97223997778913,-7.799985851130775
2024-01-15,74756,2141436.52,28.64568088180213,19.636105864412222,3.684333966504361,3.7994710792444755,14.331422895821072,17.37534622332206,-11.365443423582855
2024-01-16,90178,2599791.28,28.829551331810418,19.468142562487525,3.6416648184701366,3.7914741954800504,16.00379046626302,19.53201089489414,21.404078790997726
2024-01-17,106419,2927200.99,27.506375647205857,18.466752365648993,3.4356804705926574,3.934605756490852,15.752298931581766,17.311894797249245,12.593692136701073
2024-01-18,106952,2906987.44,27.180299947640062,18.189870502655396,3.4249904630114445,3.0744116987059615,15.638298800708105,17.399575004338757,-0.690541922780652
2024-01-19,93013,2453199.99,26.374807715050586,17.528886069689182,3.3134655370754627,3.067879006160429,14.430732800791287,17.316076877649078,-15.610230844341032
2024-01-20,104552,2546947.08,24.360577320376464,16.62664616650088,2.995075464840462,3.6385895057005126,13.39121601372204,17.153285585244795,3.821420609087789
2024-01-21,81211,2224455.02,27.39105564517122,18.77676250754208,3.41285872603465,4.961136422405832,13.358438922477662,17.925321394145787,-12.66190658346934
2024-01-22,83039,2339305.39,28.171165235612182,18.91750695456352,3.516534279073688,3.457329808884982,15.242079825945238,17.78790840886803,5.163078999907134
2024-01-23,96953,2611096.86,26.9315736490877,17.998892968758057,3.4296077480841234,3.0250391426773797,15.608568069064392,17.255395099837006,11.618468933635029
2024-01-24,102381,2764731.69,27.004343481700705,17.972911380041218,3.4821883943309793,3.572952989324191,15.851538534168125,17.827077683986083,5.88391922006295
2024-01-25,106954,2970010.42,27.76904482300802,18.59337126241188,3.5468251771789743,4.064341399106158,16.230426164519326,18.143117421066044,7.424906031297374
2024-01-26,102604,2787368.27,27.166272952321545,18.179212506335034,3.4134889477993062,3.4419092822891892,15.630258242043844,18.236803815055353,-6.149545764893305
2024-01-27,107148,2686551.26,25.07327490947101,17.1536520513682,3.1575797961697836,2.87411309590473,14.45620543547243,16.57443716255126,-3.6169246484247353
2024-01-28,89090,2385714.37,26.778699854080145,18.382470198675495,3.2893402177573243,3.421341227971714,13.702814943689903,16.93522269194927,-11.197883862450464
2024-01-29,82084,2316196.48,28.217392914575314,18.881580941474585,3.562468081477511,3.4557246235563572,15.157954656205838,16.971173112416224,-2.913923429987142
2024-01-30,98492,2618951.09,26.590495573244525,17.64317274499452,3.410726454940503,6.155472931811721,15.13530303645643,16.631225818423676,13.071197224166408
2024-01-31,99360,2664748.07,26.819123087761675,17.84127526167472,3.4491404991948467,3.2081036634460545,15.384043042136339,17.35255964548337,1.7486764138080924
