dropoff_borough,dropoff_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Manhattan,Upper East Side North,139349,2952274.14,21.18618820371872,18.0,2.755492253263389,11.373065707922793,16.303326704729713,23.053206145894695,4.858692449708599
Manhattan,Upper East Side South,127599,2549331.15,19.979240824771352,17.16,1.834248387526548,11.006400650997787,17.7358558457877,22.9795508762822,4.44900428342053
Manhattan,Midtown Center,109213,2530428.87,23.16966725572963,18.71,2.854364315603454,13.463662140343487,19.868607201852097,21.36374368351625,3.807938187644153
Manhattan,Times Sq/Theatre District,87580,2580696.05,29.46672813427723,20.3,3.3049045444165333,17.07794930349395,22.796062419657645,19.795217773637752,3.0536586896603426
Manhattan,Lincoln Square East,87575,1935931.43,22.10598264344847,18.8,2.5568878104481874,12.284152631078124,16.980961310388025,22.707650865884922,3.0534843542704326
Manhattan,Upper West Side South,87183,2022243.79,23.195391188649165,18.96,2.4737491254028883,12.415529786005681,14.696688022203789,23.23045491344969,3.039816459701503
Manhattan,Murray Hill,84493,1928950.06,22.829702578911863,18.48,2.22889304439421,12.35636206549655,17.82778121976158,21.962642655072226,2.9460240199300216
Manhattan,Midtown East,83102,1932606.82,23.255840051984308,18.75,7.184074871844239,12.848615957899128,18.12059802771663,21.83143111756926,2.897523914457111
Manhattan,Lenox Hill West,81666,1784315.52,21.84893982808023,18.12,2.167502387774594,11.657844757916392,16.881760627155025,22.432625900532827,2.8474547904750116
Manhattan,East Chelsea,72324,1731575.6,23.941922460040928,19.2,2.5139468226314916,13.362498617333111,17.266725915554147,27.5327523313273,2.5217265479675106
Manhattan,Upper West Side North,71891,1700737.75,23.6571719686748,19.32,2.635305531985923,12.604559216962716,14.322568161668144,22.49794549598206,2.506629103201321
Manhattan,Midtown North,70962,1719307.47,24.228565570305232,18.84,2.446540401905245,14.067899955844911,18.07500057724385,21.437874256357762,2.4742375877560767
Manhattan,Clinton East,69703,1761519.48,25.271788588726455,19.3,3.2365704489046383,14.50067620236336,20.008221900037306,20.259336417157584,2.430339936576785
Manhattan,Union Sq,66642,1443600.71,21.662025599471804,18.1,2.071178686113862,11.938472484819384,17.42543271560771,22.755223367364096,2.3236118108739956
Manhattan,Lenox Hill East,63646,1446618.43,22.729133488357476,19.6,2.3011686516041854,13.443346531334779,15.582467025269805,20.916681296197073,2.2191500452400335
Manhattan,Yorkville West,63470,1492199.38,23.51031006774854,19.5,2.569295415156767,12.31001129142377,15.163736715427158,22.348922652079594,2.213013439515208
Manhattan,Sutton Place/Turtle Bay North,62477,1400167.93,22.41093410375018,18.5,2.231412039630584,11.955302484647683,15.847537712977205,21.999596760053738,2.178390431079119
Manhattan,Penn Station/Madison Sq West,62190,1409441.83,22.66348014150185,18.84,3.283872809133301,13.219442032481107,20.113378912131143,20.922193606961695,2.168383579698295
Manhattan,Midtown South,58027,1507704.73,25.98281369017871,18.9,2.7589441122236202,13.983375555057703,19.187913159874373,21.195468791885528,2.0232319340593823
Manhattan,East Village,56979,1371619.85,24.072374910054585,19.68,2.6112725741062497,13.131821665291891,17.11885301407604,21.522144203075715,1.9866912363342846
Manhattan,Gramercy,56712,1281012.36,22.588030046550998,18.48,2.3120702849485117,11.959132693844925,16.164225984876143,22.36672024920775,1.9773817265131004
Manhattan,West Chelsea/Hudson Yards,56265,1243621.12,22.102925797565096,19.32,2.167582333599929,12.681599277229775,15.19121837369147,21.749833911965556,1.9617961426551627
Manhattan,West Village,49736,1102371.63,22.164460953836254,18.48,2.203550345825961,12.333688542169321,17.159792814541284,23.261700704015162,1.7341489905109246
Manhattan,Lincoln Square West,47497,1098838.81,23.134909783775818,19.8,2.393998778870244,13.140017264248268,15.037279237183354,21.94846661895142,1.656081602909309
Manhattan,Yorkville East,47265,1173249.42,24.822795303078387,20.52,2.7197488627948796,13.301118163545963,15.328023565939928,22.354659747712287,1.6479924408174935
