pickup_borough,pickup_zone,total_trips,total_revenue,average_total_amount,median_total_amount,average_trip_distance,average_trip_duration,average_revenue_per_mile,average_tip_percentage,trip_share_percentage
Manhattan,Midtown Center,140074,3354213.05,23.946007467481472,20.1,2.598472807230464,13.904324380922464,18.06473589142552,21.645676661795665,4.883971081245521
Manhattan,Upper East Side South,140069,2770461.15,19.77925986478093,17.28,1.715226209939387,11.02697361062524,17.250057931161262,22.808629521357666,4.883796745855612
Queens,JFK Airport,138311,11183307.459999999,80.85624035687688,87.69,15.938951710276118,37.10852209874847,20.442045648752906,14.191066627525172,4.822500422763321
Manhattan,Upper East Side North,133901,2712549.69,20.2578747731533,17.64,1.8706704953659794,11.223256485512929,16.663712495345223,22.570570836839877,4.668736608862862
Manhattan,Midtown East,104298,2433071.91,23.32807829488581,19.8,2.2586860725996663,13.374902522899127,17.219562608934613,21.915173603124853,3.636566499362804
Manhattan,Times Sq/Theatre District,102890,2763318.22,26.857014481485084,20.3,2.969274370687142,15.089843198237599,20.2584224487042,20.622790254509937,3.5874736535642002
Manhattan,Penn Station/Madison Sq West,102099,2461096.7,24.105002987296647,20.65,2.302952526469407,15.173961220645321,16.91871415148644,20.894908972978122,3.559893794880467
Manhattan,Lincoln Square East,101706,2169364.02,21.329754586750045,18.81,2.1173156942559928,11.768862702298783,15.475846643403235,22.448661121627,3.5461910332335553
Queens,LaGuardia Airport,87658,5817091.86,66.36122042483288,66.49,9.710407036437061,27.150089362446476,12.517510919019843,21.254811123160355,3.0563783217429354
Manhattan,Upper West Side South,86432,1833747.87,21.216075874676047,18.48,2.293344710292484,11.571085361903,15.201300511881342,22.76387772881757,3.0136312841370487
Manhattan,Midtown North,83640,1970275.52,23.556617886178863,19.32,2.5402225011956,13.364476127849516,17.382613828724296,21.78249158656034,2.916282402411407
Manhattan,Murray Hill,80931,1864653.06,23.040034844497164,19.32,2.2288587809368474,13.160082663009229,17.856377609659802,21.588839811071665,2.821827488158269
Manhattan,East Chelsea,75496,1867170.54,24.732045936208543,21.3,2.476040187559606,15.11434844230158,17.88368425244302,21.509016554522912,2.6323249193262983
Manhattan,Union Sq,74324,1618926.85,21.782019939723373,18.84,2.0097853990635595,12.641475835530919,17.239288962696193,22.57854091983005,2.5914607039314372
Manhattan,Clinton East,74028,1698618.48,22.94562165667045,18.6,2.421415140217215,12.589530312854595,18.49782291691905,21.145600947135232,2.581140048848776
Manhattan,Lenox Hill West,72143,1464694.56,20.3026566680066,17.64,2.7338147845251792,11.207957806024146,18.169196575729746,21.912649791662698,2.5154156068527755
Manhattan,West Village,64231,1444994.41,22.496838131120487,19.6,2.232129501331133,13.057704483297265,15.991020930040783,22.346906496460246,2.2395472858594823
Manhattan,Lenox Hill East,64171,1440508.66,22.44796964360848,19.5,2.3048719826713002,13.049229402689688,15.393609946041249,20.95333764627187,2.2374552611805645
Manhattan,East Village,63551,1415206.17,22.26882613963588,19.32,2.8351073940614624,12.401115377151159,16.280826568868548,21.203782463368658,2.2158376728317473
Manhattan,Midtown South,63041,1481237.21,23.49641043130661,19.2,2.3359543788962736,13.215237966825821,19.569102581576512,21.399572814524678,2.198055463060946
Manhattan,Upper West Side North,62500,1323631.33,21.17810128,18.48,4.2093055999999995,11.645725066666666,14.764862457678648,21.706977278036966,2.179192373872704
Manhattan,Yorkville West,58161,1186155.62,20.394347071061365,17.2,2.0903672564089337,10.608173575649202,16.02215314746765,22.183326645455697,2.027904122508965
Manhattan,Gramercy,57655,1245223.49,21.597840430144828,18.5,2.12396860636545,12.143048593646114,16.082027877623325,21.81896648023692,2.0102613810500918
Manhattan,Sutton Place/Turtle Bay North,53887,1144593.9,21.24063132109785,18.48,2.0187353164956297,12.13103222174798,16.51015174435064,21.66630781602424,1.8788822312140543
Manhattan,West Chelsea/Hudson Yards,49070,1175440.15,23.95435398410434,21.0,2.3605223150601184,14.385886488689627,15.689580542925944,21.020626861501952,1.7109275165749374
Manhattan,Central Park,47282,1042942.75,22.057923734190602,19.2,2.157872128928556,12.895245195493704,15.358884661325918,21.54173637269158,1.6485851811431869
Manhattan,Garment District,46635,1113631.79,23.879742468103355,19.2,2.397496944355098,14.071044994817912,19.568545983418165,19.60194113849897,1.6260261816888566
Manhattan,Flatiron,45265,998030.99,22.048624544349938,18.4,2.130646636474097,12.555438344563495,17.27742145797934,22.275082076804477,1.578258284853567
Manhattan,Yorkville East,41351,894853.82,21.640439650794416,18.48,2.823354937002733,11.390370244975937,15.983785738869791,21.058101913312115,1.4417885416321627
Manhattan,Greenwich Village North,39358,863067.57,21.928643985974897,18.725,2.0575397631993493,12.967326422413063,18.2215161133904,22.206501452003014,1.37229845521411
Manhattan,Greenwich Village South,39109,882817.97,22.573268812805235,19.68,2.273873788642,13.05448660581111,15.618849212368074,21.81098583188689,1.363616552796601
Manhattan,TriBeCa/Civic Center,35856,935375.78,26.087008589915218,22.2,3.0333765618027666,15.083476963409193,16.069151137191866,20.954866206202656,1.2501939481212747
Manhattan,Lincoln Square West,34421,720753.55,20.939355335405715,18.48,2.1042712297725226,11.616945566175689,15.855969715041041,21.39970431094578,1.2001596912171575
Manhattan,UN/Turtle Bay South,32599,787733.05,24.164331727967117,19.63,3.8832712659897544,13.381200343568821,18.14950677338526,20.87197468073356,1.1366318751340203
Manhattan,Kips Bay,31790,688116.19,21.645680717206666,18.64,2.275690783265178,12.468357974205725,14.984073099130521,20.032707626586607,1.108424409046612
Manhattan,Lower East Side,26678,661740.43,24.80472411725017,21.36,2.847439088387435,13.856967039008422,17.48473788483842,34.78431289195484,0.9301839064028159
Manhattan,Little Italy/NoLiTa,24663,584690.82,23.707205936017512,20.52,2.4780322750679153,14.229400316263229,17.20986768495353,20.40010206099429,0.8599267442691599
Manhattan,Manhattan Valley,23646,498895.92,21.098533367165693,18.0,19.566441258563817,12.153425526516113,14.197028277995932,19.78917477383415,0.8244669259615032
Manhattan,Meatpacking/West Village West,22817,558522.53,24.47835079107683,20.7,2.6179874654862605,14.386843873719886,16.02418432568943,21.358540974113676,0.7955621183144557
Manhattan,SoHo,19558,466815.71,23.868274363431844,20.3,4.21876316596789,14.31102447421345,16.332134198856824,21.021503413693377,0.6819303111712374
Manhattan,East Harlem South,17368,364635.2,20.994656840165824,17.5,2.4851531552280055,12.87060590357746,18.734924036668545,15.922575110754213,0.6055714103907379
Manhattan,Clinton West,15469,360656.05,23.31476178162777,19.11,2.6025838774322843,12.975067338979034,16.906193943704412,19.49491286991154,0.5393588293029896
Manhattan,Battery Park City,15311,490098.16,32.009546077983146,28.18,4.426930964665927,17.090770252324038,12.553711706459874,20.042794797568178,0.5338498309818395
Manhattan,Hudson Sq,13295,319339.82,24.019542685220006,19.68,2.540277547950357,13.704795035727717,16.076856395649433,21.959159414323278,0.46355780177020156
Manhattan,Morningside Heights,13270,303074.71,22.83908892238131,19.9,2.6916345139412208,13.825499874403416,14.978338651856435,18.464105262933572,0.4626861248206524
Manhattan,World Trade Center,12385,395472.24,31.93154945498587,28.2,4.25659426725878,18.88971201722514,14.406405511533933,18.259102908750126,0.43182876080661503
Queens,East Elmhurst,11861,763177.67,64.34345080515978,65.15,9.50790742770424,26.800039344630864,12.57259902195161,20.579739306265516,0.41355841194406623
Manhattan,Financial District North,11574,370654.9,32.02478831864524,28.92,4.438775704164507,17.726458729335867,20.793429753253427,18.444271532728745,0.40355156056324276
Unknown,Unknown,9616,262172.26,27.26417013311148,19.68,3.3076133527454243,14.627748890737658,33.34815595876309,20.207547427437664,0.33528182187455874
Manhattan,Bloomingdale,7623,166350.31,21.822157943067033,18.96,2.482157943067034,12.886037867856048,14.64272470148503,19.01148135439078,0.2657917354565059
Manhattan,Financial District South,6674,220128.22,32.982951753071625,31.1,4.755115373089601,19.049977524722806,16.38718731823676,17.14039129143627,0.2327028784516228
Manhattan,Central Harlem,6341,133428.67,21.04221258476581,16.65,2.695224727960889,13.963933133575146,20.103772121948165,12.369583010186492,0.22109214148362905
Manhattan,East Harlem North,5545,118021.08,21.284234445446348,17.1,13.501835888187555,13.675341148181545,25.42356725746953,10.384312513534397,0.19333794740998628
Manhattan,Seaport,4242,129049.41,30.421831683168318,27.24,21.33416548797737,17.046986484362723,22.158525632066187,18.46586243592406,0.14790614479948816
Manhattan,Chinatown,3621,101619.28,28.063871858602596,23.9,3.5067108533554263,17.971932247077234,12.678331571504005,16.90807565918666,0.12625368937268897
Manhattan,Two Bridges/Seward Park,3412,94829.44,27.792919109026965,24.42,3.539179366940211,17.1406652989449,20.69553380897344,15.897775911516046,0.11896647007445865
Manhattan,Stuy Town/Peter Cooper Village,3404,78459.37,23.049168625146883,19.8,2.540161574618096,13.185521934978457,14.450602923758726,17.472690027842262,0.11868753345060294
Manhattan,Alphabet City,3248,77354.25,23.81596366995074,21.36,32.86717672413793,13.951960180623974,18.275539089482436,16.88409916803786,0.11324826928541668
Manhattan,Central Harlem North,2697,66577.27,24.685676677790138,20.0,3.8819021134593994,19.990415276232852,25.04560325419796,5.470920837136628,0.09403650931735491
Queens,Sunnyside,2242,78392.37,34.96537466547725,27.235,4.605816235504014,19.470450490633365,33.44386075985838,10.64284621789889,0.07817198883556163
Manhattan,Hamilton Heights,2000,53525.94,26.762970000000003,22.68,4.103680000000001,17.748450000000002,22.11300456849465,9.971306695577093,0.06973415596392653
Manhattan,Manhattanville,1784,41883.94,23.47754484304933,19.27,3.3617769058295965,14.9886677877429,15.173023754073002,10.754803736788293,0.06220286711982245
Manhattan,Washington Heights South,1694,51002.43,30.107691853600944,26.990000000000002,21.658447461629276,20.39445100354191,20.899158678959818,10.220075728512668,0.05906483010144577
Queens,Long Island City/Hunters Point,1511,66219.62,43.825029781601586,31.44,4.973818663136995,17.971409662475182,80.64176599183881,12.228580560443266,0.05268415483074649
Queens,Astoria,1500,38967.3,25.9782,23.045,3.9672466666666666,18.40091111111111,29.803998967010596,7.426813313801762,0.05230061697294489
Queens,Long Island City/Queens Plaza,1325,32102.57,24.228354716981134,20.3,3.1971018867924528,15.345069182389938,29.21583372598272,11.032486200192688,0.04619887832610132
Brooklyn,Downtown Brooklyn/MetroTech,1290,42799.95,33.178255813953484,28.555,5.256503875968993,21.990839793281655,42.79913390013743,12.958720669905263,0.044978530596732604
