pickup_borough,pickup_zone,total_trips,total_revenue,average_total_amount,average_trip_distance
Manhattan,Midtown Center,140074,3354213.05,23.946007467481472,2.598472807230464
Manhattan,Upper East Side South,140069,2770461.15,19.77925986478093,1.715226209939387
Queens,JFK Airport,138311,11183307.459999999,80.85624035687688,15.938951710276118
Manhattan,Upper East Side North,133901,2712549.69,20.2578747731533,1.8706704953659794
Manhattan,Midtown East,104298,2433071.91,23.32807829488581,2.2586860725996663
Manhattan,Times Sq/Theatre District,102890,2763318.22,26.857014481485084,2.969274370687142
Manhattan,Penn Station/Madison Sq West,102099,2461096.7,24.105002987296647,2.302952526469407
Manhattan,Lincoln Square East,101706,2169364.02,21.329754586750045,2.1173156942559928
Queens,LaGuardia Airport,87658,5817091.86,66.36122042483288,9.710407036437061
Manhattan,Upper West Side South,86432,1833747.87,21.216075874676047,2.293344710292484
Manhattan,Midtown North,83640,1970275.52,23.556617886178863,2.5402225011956
Manhattan,Murray Hill,80931,1864653.06,23.040034844497164,2.2288587809368474
Manhattan,East Chelsea,75496,1867170.54,24.732045936208543,2.476040187559606
Manhattan,Union Sq,74324,1618926.85,21.782019939723373,2.0097853990635595
Manhattan,Clinton East,74028,1698618.48,22.94562165667045,2.421415140217215
